时间,异议事项类型,数据发生机构名称,编号
2022,否认逾期,马上消费金融股份有限公司,3
2022,基本信息不准确,兴业消费金融股份公司,9
2022,非本人业务,马上消费金融股份有限公司,3
2022,否认逾期,马上消费金融股份有限公司,3
2022,否认逾期,马上消费金融股份有限公司,3
2022,否认逾期,晋商消费金融股份有限公司,10
2022,基本信息不准确,中信消费金融有限公司,21
2022,账户状态有误,哈尔滨哈银消费金融有限责任公司,14
2022,非本人业务,杭银消费金融股份有限公司,11
2022,基本信息不准确,捷信消费金融有限公司,1
2022,非本人业务,马上消费金融股份有限公司,3
2022,基本信息不准确,捷信消费金融有限公司,1
2022,否认逾期,马上消费金融股份有限公司,3
2022,否认逾期,招联消费金融股份有限公司,2
2022,非本人业务,马上消费金融股份有限公司,3
2022,否认逾期,杭银消费金融股份有限公司,11
2022,非本人业务,招联消费金融股份有限公司,2
2022,否认逾期,马上消费金融股份有限公司,3
2022,否认逾期,海尔消费金融有限公司,5
2022,非本人业务,马上消费金融股份有限公司,3
2022,非本人业务,招联消费金融股份有限公司,2
2022,非本人业务,招联消费金融股份有限公司,2
2022,否认逾期,招联消费金融股份有限公司,2
2022,非本人业务,捷信消费金融有限公司,1
2022,基本信息不准确,哈尔滨哈银消费金融有限责任公司,14
2022,否认逾期,招联消费金融股份有限公司,2
2022,否认逾期,招联消费金融股份有限公司,2
2022,否认逾期,招联消费金融股份有限公司,2
2022,基本信息不准确,哈尔滨哈银消费金融有限责任公司,14
2022,否认逾期,中银消费金融有限公司,6
2022,否认逾期,招联消费金融股份有限公司,2
2022,否认逾期,河南中原消费金融股份有限公司,7
2022,否认逾期,招联消费金融股份有限公司,2
2022,基本信息不准确,中邮消费金融有限公司,4
2022,否认逾期,马上消费金融股份有限公司,3
2022,否认逾期,招联消费金融股份有限公司,2
2022,基本信息不准确,马上消费金融股份有限公司,3
2022,基本信息不准确,河南中原消费金融股份有限公司,7
2022,否认逾期,南银法巴消费金融有限公司,19
2022,基本信息不准确,捷信消费金融有限公司,1
2022,基本信息不准确,捷信消费金融有限公司,1
2022,账户状态有误,招联消费金融股份有限公司,2
2022,账户状态有误,招联消费金融股份有限公司,2
2022,账户状态有误,招联消费金融股份有限公司,2
2022,账户状态有误,招联消费金融股份有限公司,2
2022,否认逾期,哈尔滨哈银消费金融有限责任公司,14
2022,账户状态有误,招联消费金融股份有限公司,2
2022,账户状态有误,招联消费金融股份有限公司,2
2022,非本人业务,马上消费金融股份有限公司,3
2022,非本人业务,马上消费金融股份有限公司,3
2022,非本人业务,马上消费金融股份有限公司,3
2022,非本人业务,马上消费金融股份有限公司,3
2022,基本信息不准确,哈尔滨哈银消费金融有限责任公司,14
2022,否认逾期,杭银消费金融股份有限公司,11
2022,非本人业务,马上消费金融股份有限公司,3
2022,非本人业务,马上消费金融股份有限公司,3
2022,非本人业务,马上消费金融股份有限公司,3
2022,非本人业务,马上消费金融股份有限公司,3
2022,非本人业务,马上消费金融股份有限公司,3
2022,非本人业务,马上消费金融股份有限公司,3
2022,非本人业务,马上消费金融股份有限公司,3
2022,否认逾期,兴业消费金融股份公司,9
2022,基本信息不准确,捷信消费金融有限公司,1
2022,基本信息不准确,捷信消费金融有限公司,1
2022,否认逾期,招联消费金融股份有限公司,2
2022,基本信息不准确,捷信消费金融有限公司,1
2022,基本信息不准确,陕西长银消费金融有限公司,8
2022,账户状态有误,招联消费金融股份有限公司,2
2022,账户状态有误,招联消费金融股份有限公司,2
2022,否认逾期,马上消费金融股份有限公司,3
2022,非本人业务,捷信消费金融有限公司,1
2022,基本信息不准确,捷信消费金融有限公司,1
2022,基本信息不准确,捷信消费金融有限公司,1
2022,账户状态有误,招联消费金融股份有限公司,2
2022,账户状态有误,招联消费金融股份有限公司,2
2022,账户状态有误,招联消费金融股份有限公司,2
2022,账户状态有误,招联消费金融股份有限公司,2
2022,账户状态有误,招联消费金融股份有限公司,2
2022,账户状态有误,招联消费金融股份有限公司,2
2022,账户状态有误,招联消费金融股份有限公司,2
2022,账户状态有误,招联消费金融股份有限公司,2
2022,账户状态有误,招联消费金融股份有限公司,2
2022,账户状态有误,招联消费金融股份有限公司,2
2022,账户状态有误,招联消费金融股份有限公司,2
2022,账户状态有误,招联消费金融股份有限公司,2
2022,账户状态有误,招联消费金融股份有限公司,2
2022,账户状态有误,招联消费金融股份有限公司,2
2022,账户状态有误,招联消费金融股份有限公司,2
2022,账户状态有误,招联消费金融股份有限公司,2
2022,账户状态有误,招联消费金融股份有限公司,2
2022,账户状态有误,招联消费金融股份有限公司,2
2022,账户状态有误,招联消费金融股份有限公司,2
2022,账户状态有误,招联消费金融股份有限公司,2
2022,账户状态有误,招联消费金融股份有限公司,2
2022,账户状态有误,招联消费金融股份有限公司,2
2022,账户状态有误,招联消费金融股份有限公司,2
2022,账户状态有误,招联消费金融股份有限公司,2
2022,账户状态有误,招联消费金融股份有限公司,2
2022,账户状态有误,招联消费金融股份有限公司,2
2022,账户状态有误,招联消费金融股份有限公司,2
2022,账户状态有误,招联消费金融股份有限公司,2
2022,非本人业务,马上消费金融股份有限公司,3
2022,基本信息不准确,马上消费金融股份有限公司,3
2022,非本人业务,马上消费金融股份有限公司,3
2022,账户状态有误,招联消费金融股份有限公司,2
2022,账户状态有误,招联消费金融股份有限公司,2
2022,账户状态有误,招联消费金融股份有限公司,2
2022,账户状态有误,招联消费金融股份有限公司,2
2022,否认逾期,招联消费金融股份有限公司,2
2022,基本信息不准确,湖北消费金融股份有限公司,16
2022,非本人业务,马上消费金融股份有限公司,3
2022,非本人业务,马上消费金融股份有限公司,3
2022,基本信息不准确,捷信消费金融有限公司,1
2022,基本信息不准确,河南中原消费金融股份有限公司,7
2022,非本人业务,马上消费金融股份有限公司,3
2022,否认逾期,招联消费金融股份有限公司,2
2022,基本信息不准确,捷信消费金融有限公司,1
2022,否认逾期,陕西长银消费金融有限公司,8
2022,否认逾期,马上消费金融股份有限公司,3
2022,基本信息不准确,中邮消费金融有限公司,4
2022,基本信息不准确,捷信消费金融有限公司,1
2022,基本信息不准确,捷信消费金融有限公司,1
2022,基本信息不准确,捷信消费金融有限公司,1
2022,非本人业务,捷信消费金融有限公司,1
2022,基本信息不准确,中信消费金融有限公司,21
2022,否认逾期,兴业消费金融股份公司,9
2022,基本信息不准确,兴业消费金融股份公司,9
2022,否认逾期,马上消费金融股份有限公司,3
2022,否认逾期,哈尔滨哈银消费金融有限责任公司,14
2022,非本人业务,捷信消费金融有限公司,1
2022,否认逾期,招联消费金融股份有限公司,2
2022,基本信息不准确,南银法巴消费金融有限公司,19
2022,账户状态有误,海尔消费金融有限公司,5
2022,否认逾期,马上消费金融股份有限公司,3
2022,否认逾期,晋商消费金融股份有限公司,10
2022,非本人业务,招联消费金融股份有限公司,2
2022,非本人业务,马上消费金融股份有限公司,3
2022,账户状态有误,晋商消费金融股份有限公司,10
2022,否认逾期,马上消费金融股份有限公司,3
2022,基本信息不准确,河南中原消费金融股份有限公司,7
2022,否认逾期,马上消费金融股份有限公司,3
2022,否认逾期,马上消费金融股份有限公司,3
2022,非本人业务,捷信消费金融有限公司,1
2022,代偿,四川锦程消费金融有限责任公司,20
2022,基本信息不准确,捷信消费金融有限公司,1
2022,否认逾期,杭银消费金融股份有限公司,11
2022,基本信息不准确,捷信消费金融有限公司,1
2022,基本信息不准确,捷信消费金融有限公司,1
2022,基本信息不准确,捷信消费金融有限公司,1
2022,基本信息不准确,捷信消费金融有限公司,1
2022,基本信息不准确,海尔消费金融有限公司,5
2022,否认逾期,招联消费金融股份有限公司,2
2022,非本人业务,捷信消费金融有限公司,1
2022,基本信息不准确,陕西长银消费金融有限公司,8
2022,否认逾期,马上消费金融股份有限公司,3
2022,欺诈,马上消费金融股份有限公司,3
2022,否认逾期,杭银消费金融股份有限公司,11
2022,非本人业务,马上消费金融股份有限公司,3
2022,否认逾期,哈尔滨哈银消费金融有限责任公司,14
2022,非本人业务,捷信消费金融有限公司,1
2022,否认逾期,马上消费金融股份有限公司,3
2022,非本人业务,马上消费金融股份有限公司,3
2022,账户状态有误,平安消费金融有限公司,27
2022,欺诈,马上消费金融股份有限公司,3
2022,否认逾期,招联消费金融股份有限公司,2
2022,基本信息不准确,河南中原消费金融股份有限公司,7
2022,其他,兴业消费金融股份公司,9
2022,否认逾期,捷信消费金融有限公司,1
2022,基本信息不准确,马上消费金融股份有限公司,3
2022,否认逾期,兴业消费金融股份公司,9
2022,基本信息不准确,陕西长银消费金融有限公司,8
2022,基本信息不准确,河南中原消费金融股份有限公司,7
2022,账户状态有误,马上消费金融股份有限公司,3
2022,否认逾期,马上消费金融股份有限公司,3
2022,非本人业务,捷信消费金融有限公司,1
2022,基本信息不准确,捷信消费金融有限公司,1
2022,非本人业务,捷信消费金融有限公司,1
2022,欺诈,捷信消费金融有限公司,1
2022,否认逾期,杭银消费金融股份有限公司,11
2022,否认逾期,马上消费金融股份有限公司,3
2022,非本人业务,捷信消费金融有限公司,1
2022,否认逾期,兴业消费金融股份公司,9
2022,否认逾期,马上消费金融股份有限公司,3
2022,否认逾期,杭银消费金融股份有限公司,11
2022,基本信息不准确,捷信消费金融有限公司,1
2022,非本人业务,招联消费金融股份有限公司,2
2022,否认逾期,陕西长银消费金融有限公司,8
2022,非本人业务,马上消费金融股份有限公司,3
2022,否认逾期,杭银消费金融股份有限公司,11
2022,否认逾期,兴业消费金融股份公司,9
2022,基本信息不准确,海尔消费金融有限公司,5
2022,否认逾期,招联消费金融股份有限公司,2
2022,否认逾期,招联消费金融股份有限公司,2
2022,基本信息不准确,兴业消费金融股份公司,9
2022,账户状态有误,海尔消费金融有限公司,5
2022,否认逾期,招联消费金融股份有限公司,2
2022,否认逾期,招联消费金融股份有限公司,2
2022,否认逾期,马上消费金融股份有限公司,3
2022,否认逾期,招联消费金融股份有限公司,2
2022,非本人业务,马上消费金融股份有限公司,3
2022,非本人业务,马上消费金融股份有限公司,3
2022,基本信息不准确,中信消费金融有限公司,21
2022,非本人业务,马上消费金融股份有限公司,3
2022,否认逾期,陕西长银消费金融有限公司,8
2022,否认逾期,海尔消费金融有限公司,5
2022,否认逾期,海尔消费金融有限公司,5
2022,否认逾期,海尔消费金融有限公司,5
2022,非本人业务,南银法巴消费金融有限公司,19
2022,非本人业务,马上消费金融股份有限公司,3
2022,否认逾期,马上消费金融股份有限公司,3
2022,否认逾期,陕西长银消费金融有限公司,8
2022,非本人业务,马上消费金融股份有限公司,3
2022,否认逾期,陕西长银消费金融有限公司,8
2022,非本人业务,马上消费金融股份有限公司,3
2022,欺诈,捷信消费金融有限公司,1
2022,基本信息不准确,捷信消费金融有限公司,1
2022,基本信息不准确,捷信消费金融有限公司,1
2022,非本人业务,捷信消费金融有限公司,1
2022,否认逾期,马上消费金融股份有限公司,3
2022,否认逾期,杭银消费金融股份有限公司,11
2022,基本信息不准确,捷信消费金融有限公司,1
2022,基本信息不准确,河南中原消费金融股份有限公司,7
2022,非本人业务,捷信消费金融有限公司,1
2022,基本信息不准确,捷信消费金融有限公司,1
2022,否认逾期,中银消费金融有限公司,6
2022,基本信息不准确,捷信消费金融有限公司,1
2022,非本人业务,捷信消费金融有限公司,1
2022,否认逾期,捷信消费金融有限公司,1
2022,否认逾期,马上消费金融股份有限公司,3
2022,非本人业务,陕西长银消费金融有限公司,8
2022,非本人业务,马上消费金融股份有限公司,3
2022,否认逾期,海尔消费金融有限公司,5
2022,基本信息不准确,哈尔滨哈银消费金融有限责任公司,14
2022,否认逾期,马上消费金融股份有限公司,3
2022,否认逾期,河南中原消费金融股份有限公司,7
2022,否认逾期,捷信消费金融有限公司,1
2022,否认逾期,兴业消费金融股份公司,9
2022,基本信息不准确,中邮消费金融有限公司,4
2022,否认逾期,哈尔滨哈银消费金融有限责任公司,14
2022,否认逾期,哈尔滨哈银消费金融有限责任公司,14
2022,否认逾期,招联消费金融股份有限公司,2
2022,否认逾期,招联消费金融股份有限公司,2
2022,非本人业务,马上消费金融股份有限公司,3
2022,非本人业务,捷信消费金融有限公司,1
2022,否认逾期,招联消费金融股份有限公司,2
2022,否认逾期,招联消费金融股份有限公司,2
2022,否认逾期,招联消费金融股份有限公司,2
2022,基本信息不准确,海尔消费金融有限公司,5
2022,基本信息不准确,海尔消费金融有限公司,5
2022,非本人业务,马上消费金融股份有限公司,3
2022,基本信息不准确,捷信消费金融有限公司,1
2022,基本信息不准确,捷信消费金融有限公司,1
2022,非本人业务,捷信消费金融有限公司,1
2022,非本人业务,河南中原消费金融股份有限公司,7
2022,基本信息不准确,捷信消费金融有限公司,1
2022,基本信息不准确,捷信消费金融有限公司,1
2022,否认逾期,马上消费金融股份有限公司,3
2022,否认逾期,招联消费金融股份有限公司,2
2022,否认逾期,招联消费金融股份有限公司,2
2022,否认逾期,招联消费金融股份有限公司,2
2022,欺诈,马上消费金融股份有限公司,3
2022,基本信息不准确,捷信消费金融有限公司,1
2022,基本信息不准确,捷信消费金融有限公司,1
2022,非本人业务,马上消费金融股份有限公司,3
2022,非本人业务,陕西长银消费金融有限公司,8
2022,非本人业务,陕西长银消费金融有限公司,8
2022,非本人业务,陕西长银消费金融有限公司,8
2022,基本信息不准确,马上消费金融股份有限公司,3
2022,基本信息不准确,厦门金美信消费金融有限责任公司,25
2022,否认逾期,捷信消费金融有限公司,1
2022,否认逾期,马上消费金融股份有限公司,3
2022,否认逾期,招联消费金融股份有限公司,2
2022,否认逾期,马上消费金融股份有限公司,3
2022,否认逾期,马上消费金融股份有限公司,3
2022,非本人业务,马上消费金融股份有限公司,3
2022,否认逾期,中邮消费金融有限公司,4
2022,否认逾期,内蒙古蒙商消费金融股份有限公司,22
2022,欺诈,马上消费金融股份有限公司,3
2022,非本人业务,捷信消费金融有限公司,1
2022,基本信息不准确,兴业消费金融股份公司,9
2022,否认逾期,杭银消费金融股份有限公司,11
2022,基本信息不准确,陕西长银消费金融有限公司,8
2022,非本人业务,马上消费金融股份有限公司,3
2022,基本信息不准确,马上消费金融股份有限公司,3
2022,基本信息不准确,马上消费金融股份有限公司,3
2022,非本人业务,捷信消费金融有限公司,1
2022,非本人业务,捷信消费金融有限公司,1
2022,非本人业务,捷信消费金融有限公司,1
2022,非本人业务,捷信消费金融有限公司,1
2022,否认逾期,马上消费金融股份有限公司,3
2022,基本信息不准确,兴业消费金融股份公司,9
2022,否认逾期,捷信消费金融有限公司,1
2022,非本人业务,招联消费金融股份有限公司,2
2022,基本信息不准确,河南中原消费金融股份有限公司,7
2022,否认逾期,招联消费金融股份有限公司,2
2022,否认逾期,招联消费金融股份有限公司,2
2022,基本信息不准确,捷信消费金融有限公司,1
2022,否认逾期,招联消费金融股份有限公司,2
2022,否认逾期,招联消费金融股份有限公司,2
2022,否认逾期,招联消费金融股份有限公司,2
2022,否认逾期,招联消费金融股份有限公司,2
2022,否认逾期,招联消费金融股份有限公司,2
2022,否认逾期,招联消费金融股份有限公司,2
2022,账户状态有误,重庆小米消费金融有限公司,23
2022,否认逾期,招联消费金融股份有限公司,2
2022,基本信息不准确,兴业消费金融股份公司,9
2022,基本信息不准确,中信消费金融有限公司,21
2022,其他,陕西长银消费金融有限公司,8
2022,基本信息不准确,中邮消费金融有限公司,4
2022,否认逾期,招联消费金融股份有限公司,2
2022,否认逾期,海尔消费金融有限公司,5
2022,非本人业务,捷信消费金融有限公司,1
2022,基本信息不准确,晋商消费金融股份有限公司,10
2022,欺诈,捷信消费金融有限公司,1
2022,基本信息不准确,中邮消费金融有限公司,4
2022,基本信息不准确,中邮消费金融有限公司,4
2022,非本人业务,捷信消费金融有限公司,1
2022,非本人业务,捷信消费金融有限公司,1
2022,非本人业务,捷信消费金融有限公司,1
2022,非本人业务,马上消费金融股份有限公司,3
2022,非本人业务,马上消费金融股份有限公司,3
2022,账户状态有误,海尔消费金融有限公司,5
2022,非本人业务,招联消费金融股份有限公司,2
2022,非本人业务,招联消费金融股份有限公司,2
2022,其他,河南中原消费金融股份有限公司,7
2022,基本信息不准确,捷信消费金融有限公司,1
2022,非本人业务,招联消费金融股份有限公司,2
2022,基本信息不准确,南银法巴消费金融有限公司,19
2022,非本人业务,中银消费金融有限公司,6
2022,否认逾期,内蒙古蒙商消费金融股份有限公司,22
2022,否认逾期,招联消费金融股份有限公司,2
2022,否认逾期,招联消费金融股份有限公司,2
2022,基本信息不准确,中信消费金融有限公司,21
2022,非本人业务,马上消费金融股份有限公司,3
2022,否认逾期,招联消费金融股份有限公司,2
2022,否认逾期,招联消费金融股份有限公司,2
2022,否认逾期,招联消费金融股份有限公司,2
2022,基本信息不准确,兴业消费金融股份公司,9
2022,非本人业务,马上消费金融股份有限公司,3
2022,基本信息不准确,厦门金美信消费金融有限责任公司,25
2022,非本人业务,招联消费金融股份有限公司,2
2022,非本人业务,招联消费金融股份有限公司,2
2022,基本信息不准确,兴业消费金融股份公司,9
2022,基本信息不准确,兴业消费金融股份公司,9
2022,基本信息不准确,海尔消费金融有限公司,5
2022,基本信息不准确,河南中原消费金融股份有限公司,7
2022,基本信息不准确,杭银消费金融股份有限公司,11
2022,基本信息不准确,杭银消费金融股份有限公司,11
2022,其他,兴业消费金融股份公司,9
2022,基本信息不准确,兴业消费金融股份公司,9
2022,否认逾期,马上消费金融股份有限公司,3
2022,基本信息不准确,海尔消费金融有限公司,5
2022,基本信息不准确,陕西长银消费金融有限公司,8
2022,基本信息不准确,陕西长银消费金融有限公司,8
2022,账户状态有误,中银消费金融有限公司,6
2022,基本信息不准确,陕西长银消费金融有限公司,8
2022,否认逾期,杭银消费金融股份有限公司,11
2022,基本信息不准确,湖北消费金融股份有限公司,16
2022,否认逾期,马上消费金融股份有限公司,3
2022,否认逾期,马上消费金融股份有限公司,3
2022,非本人业务,杭银消费金融股份有限公司,11
2022,非本人业务,哈尔滨哈银消费金融有限责任公司,14
2022,否认逾期,招联消费金融股份有限公司,2
2022,否认逾期,哈尔滨哈银消费金融有限责任公司,14
2022,否认逾期,重庆蚂蚁消费金融有限公司,13
2022,基本信息不准确,陕西长银消费金融有限公司,8
2022,否认逾期,马上消费金融股份有限公司,3
2022,否认逾期,马上消费金融股份有限公司,3
2022,基本信息不准确,河南中原消费金融股份有限公司,7
2022,非本人业务,招联消费金融股份有限公司,2
2022,非本人业务,招联消费金融股份有限公司,2
2022,非本人业务,招联消费金融股份有限公司,2
2022,非本人业务,招联消费金融股份有限公司,2
2022,非本人业务,招联消费金融股份有限公司,2
2022,否认逾期,马上消费金融股份有限公司,3
2022,基本信息不准确,陕西长银消费金融有限公司,8
2022,否认逾期,哈尔滨哈银消费金融有限责任公司,14
2022,否认逾期,马上消费金融股份有限公司,3
2022,非本人业务,马上消费金融股份有限公司,3
2022,账户状态有误,海尔消费金融有限公司,5
2022,基本信息不准确,厦门金美信消费金融有限责任公司,25
2022,基本信息不准确,厦门金美信消费金融有限责任公司,25
2022,基本信息不准确,马上消费金融股份有限公司,3
2022,否认逾期,捷信消费金融有限公司,1
2022,基本信息不准确,马上消费金融股份有限公司,3
2022,否认逾期,马上消费金融股份有限公司,3
2022,否认逾期,招联消费金融股份有限公司,2
2022,非本人业务,马上消费金融股份有限公司,3
2022,基本信息不准确,哈尔滨哈银消费金融有限责任公司,14
2022,基本信息不准确,捷信消费金融有限公司,1
2022,否认逾期,晋商消费金融股份有限公司,10
2022,否认逾期,招联消费金融股份有限公司,2
2022,否认逾期,杭银消费金融股份有限公司,11
2022,否认逾期,杭银消费金融股份有限公司,11
2022,基本信息不准确,晋商消费金融股份有限公司,10
2022,非本人业务,马上消费金融股份有限公司,3
2022,否认逾期,河南中原消费金融股份有限公司,7
2022,非本人业务,马上消费金融股份有限公司,3
2022,基本信息不准确,捷信消费金融有限公司,1
2022,非本人业务,马上消费金融股份有限公司,3
2022,非本人业务,捷信消费金融有限公司,1
2022,基本信息不准确,马上消费金融股份有限公司,3
2022,基本信息不准确,河南中原消费金融股份有限公司,7
2022,非本人业务,捷信消费金融有限公司,1
2022,否认逾期,马上消费金融股份有限公司,3
2022,非本人业务,哈尔滨哈银消费金融有限责任公司,14
2022,否认逾期,哈尔滨哈银消费金融有限责任公司,14
2022,否认逾期,马上消费金融股份有限公司,3
2022,否认逾期,马上消费金融股份有限公司,3
2022,否认逾期,四川锦程消费金融有限责任公司,20
2022,否认逾期,招联消费金融股份有限公司,2
2022,否认逾期,招联消费金融股份有限公司,2
2022,否认逾期,招联消费金融股份有限公司,2
2022,否认逾期,招联消费金融股份有限公司,2
2022,否认逾期,招联消费金融股份有限公司,2
2022,否认逾期,招联消费金融股份有限公司,2
2022,否认逾期,招联消费金融股份有限公司,2
2022,否认逾期,招联消费金融股份有限公司,2
2022,否认逾期,招联消费金融股份有限公司,2
2022,非本人业务,马上消费金融股份有限公司,3
2022,基本信息不准确,捷信消费金融有限公司,1
2022,非本人业务,四川锦程消费金融有限责任公司,20
2022,基本信息不准确,兴业消费金融股份公司,9
2022,否认逾期,河南中原消费金融股份有限公司,7
2022,否认逾期,晋商消费金融股份有限公司,10
2022,基本信息不准确,兴业消费金融股份公司,9
2022,否认逾期,杭银消费金融股份有限公司,11
2022,基本信息不准确,捷信消费金融有限公司,1
2022,非本人业务,马上消费金融股份有限公司,3
2022,基本信息不准确,南银法巴消费金融有限公司,19
2022,否认逾期,兴业消费金融股份公司,9
2022,非本人业务,中银消费金融有限公司,6
2022,否认逾期,中邮消费金融有限公司,4
2022,非本人业务,中邮消费金融有限公司,4
2022,非本人业务,招联消费金融股份有限公司,2
2022,非本人业务,捷信消费金融有限公司,1
2022,非本人业务,马上消费金融股份有限公司,3
2022,非本人业务,马上消费金融股份有限公司,3
2022,否认逾期,招联消费金融股份有限公司,2
2022,基本信息不准确,陕西长银消费金融有限公司,8
2022,基本信息不准确,捷信消费金融有限公司,1
2022,非本人业务,招联消费金融股份有限公司,2
2022,否认逾期,捷信消费金融有限公司,1
2022,否认逾期,北银消费金融有限公司,15
2022,非本人业务,捷信消费金融有限公司,1
2022,基本信息不准确,捷信消费金融有限公司,1
2022,基本信息不准确,捷信消费金融有限公司,1
2022,非本人业务,捷信消费金融有限公司,1
2022,基本信息不准确,捷信消费金融有限公司,1
2022,基本信息不准确,河南中原消费金融股份有限公司,7
2022,非本人业务,捷信消费金融有限公司,1
2022,否认逾期,马上消费金融股份有限公司,3
2022,非本人业务,马上消费金融股份有限公司,3
2022,基本信息不准确,捷信消费金融有限公司,1
2022,非本人业务,中银消费金融有限公司,6
2022,基本信息不准确,捷信消费金融有限公司,1
